Question ID,Question Order,Section,Question,Question Ontology - class and subclass,Question Ontology - individual,Answer ID,Answer Type (single choice multiple choice choice) select column,Answer,Answer Ontology individual,data type,time unit,range,choice,choice ontology,Parent Question,Parent Answer,required,PHI ,Picture
107,12,Details about your symptoms,We use the word aromas for the tastes that are not salty - sweet - bitter or sour (e.g. chocolate - fish). Is your ability to taste aromas totally impaired and cannot perceive ANY aromas?,,anosmia retronasal_smell,1,single choice,Yes,,,,,,,,,,,
107,12,Details about your symptoms,We use the word aromas for the tastes that are not salty - sweet - bitter or sour (e.g. chocolate - fish). Is your ability to taste aromas totally impaired and cannot perceive ANY aromas?,,anosmia retronasal_smell,2,single choice,No,,,,,,,,,,,
108,1,Details about your symptoms,How long ago did this problem start? ,Onset_date,anosmia retronasal_smell,1,,Please enter a number and a time unit (e.g. 2 years ago / 3 months ago):,,integer_and_timeunit,second(s)**minutes(s)**hour(s)**day(s)**week(s)**month(s)**year(s),,,,107,1,,,
109,1,Details about your symptoms,How fast was the onset?,onset_speed,anosmia retronasal_smell,1,single choice,Progressively,progressive,,,,,,107,1,,,
109,1,Details about your symptoms,How fast was the onset?,onset_speed,anosmia retronasal_smell,2,single choice,Suddenly,sudden,,,,,,107,1,,,
109,1,Details about your symptoms,How fast was the onset?,onset_speed,anosmia retronasal_smell,3,single choice,I always had a bad perception of aromas as long as I can remember.,No_memories_of_any_smells,,,,,,107,1,,,
109,1,Details about your symptoms,How fast was the onset?,onset_speed,anosmia retronasal_smell,4,single choice,Do not know ,do_not_know,,,,,,107,1,,,
110,1,Details about your symptoms,Have you ever noticed that your ability to taste aromas may improve over a short or long period? ,symptoms_pattern_name,anosmia retronasal_smell,1,single choice,Yes - It fluctuates,fluctuating,,,,,,107,1,,,
110,1,Details about your symptoms,Have you ever noticed that your ability to taste aromas may improve over a short or long period? ,symptoms_pattern_name,anosmia retronasal_smell,2,single choice,No - I am constantly unable to taste aromas,constant,,,,,,107,1,,,
110,1,Details about your symptoms,Have you ever noticed that your ability to taste aromas may improve over a short or long period? ,symptoms_pattern_name,anosmia retronasal_smell,3,single choice,Do not know ,do_not_know,,,,,,107,1,,,
111,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating anosmia retronasal_smell,1,single choice,Hourly,hour,,,,,,110,1,,,
111,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating anosmia retronasal_smell,2,single choice,Daily,day,,,,,,110,1,,,
111,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating anosmia retronasal_smell,3,single choice,Weekly,week,,,,,,110,1,,,
111,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating anosmia retronasal_smell,4,single choice,Monthly,month,,,,,,110,1,,,
111,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating anosmia retronasal_smell,5,single choice,Yearly,year,,,,,,110,1,,,
111,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating anosmia retronasal_smell,6,single choice,Do not know ,do_not_know,,,,,,110,1,,,
111,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating anosmia retronasal_smell,7,single choice,It is irregular,irregular_fluctuation,,,,,,110,1,,,
112,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,anosmia retronasal_smell,1,single choice,No change,no_change,,,,,,107,1,,,
112,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,anosmia retronasal_smell,2,single choice,Better,better,,,,,,107,1,,,
112,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,anosmia retronasal_smell,3,single choice,Worse,worse,,,,,,107,1,,,
112,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,anosmia retronasal_smell,4,single choice,Do not know ,do_not_know,,,,,,107,1,,,
113,1,Details about your symptoms,What makes your inability to taste aromas worse? ,Exacerbating_factors,anosmia retronasal_smell,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,107,1,,,
114,1,Details about your symptoms,What makes your inability to taste aromas better? ,Allievating_factors,anosmia retronasal_smell,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,107,1,,,
115,1,Details about your symptoms,How does this problem affect your quality of life?,effect_on_quality_of_life,anosmia retronasal_smell,1,,Please use a scale ranging from 1 (not at all) to 10 (very badly):,,range,,1 10,,,107,1,,,
116,13,Details about your symptoms,We use the word aromas for the tastes that are not salty - sweet - bitter or sour (e.g. chocolate - fish). Is your ability to taste aromas partially impaired but still can sense some aromas?,,hyposmia retronasal_smell,1,single choice,Yes,,,,,,,,,,,
116,13,Details about your symptoms,We use the word aromas for the tastes that are not salty - sweet - bitter or sour (e.g. chocolate - fish). Is your ability to taste aromas partially impaired but still can sense some aromas?,,hyposmia retronasal_smell,2,single choice,No,,,,,,,,,,,
117,1,Details about your symptoms,How long ago did this problem start? ,Onset_date,hyposmia retronasal_smell,1,,Please enter a number and a time unit (e.g. 2 years ago / 3 months ago):,,integer_and_timeunit,second(s)**minutes(s)**hour(s)**day(s)**week(s)**month(s)**year(s),,,,116,1,,,
118,1,Details about your symptoms,How fast was the onset?,onset_speed,hyposmia retronasal_smell,1,single choice,Progressively,progressive,,,,,,116,1,,,
118,1,Details about your symptoms,How fast was the onset?,onset_speed,hyposmia retronasal_smell,2,single choice,Suddenly,sudden,,,,,,116,1,,,
118,1,Details about your symptoms,How fast was the onset?,onset_speed,hyposmia retronasal_smell,3,single choice,I always had a bad sense of taste as long as I can remember.,No_memories_of_any_smells,,,,,,116,1,,,
118,1,Details about your symptoms,How fast was the onset?,onset_speed,hyposmia retronasal_smell,4,single choice,Do not know ,do_not_know,,,,,,116,1,,,
119,1,Details about your symptoms,Have you ever noticed that your ability to taste aromas may improve or get worse over a short or long period? ,symptoms_pattern_name,hyposmia retronasal_smell,1,single choice,Yes - It fluctuates,fluctuating,,,,,,116,1,,,
119,1,Details about your symptoms,Have you ever noticed that your ability to taste aromas may improve or get worse over a short or long period? ,symptoms_pattern_name,hyposmia retronasal_smell,2,single choice,No - It does not fluctuate,constant,,,,,,116,1,,,
119,1,Details about your symptoms,Have you ever noticed that your ability to taste aromas may improve or get worse over a short or long period? ,symptoms_pattern_name,hyposmia retronasal_smell,3,single choice,Do not know ,do_not_know,,,,,,116,1,,,
120,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hyposmia retronasal_smell,1,single choice,Hourly,hour,,,,,,119,1,,,
120,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hyposmia retronasal_smell,2,single choice,Daily,day,,,,,,119,1,,,
120,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hyposmia retronasal_smell,3,single choice,Weekly,week,,,,,,119,1,,,
120,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hyposmia retronasal_smell,4,single choice,Monthly,month,,,,,,119,1,,,
120,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hyposmia retronasal_smell,5,single choice,Yearly,year,,,,,,119,1,,,
120,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hyposmia retronasal_smell,6,single choice,Do not know ,do_not_know,,,,,,119,1,,,
120,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hyposmia retronasal_smell,7,single choice,It is irregular,irregular_fluctuation,,,,,,119,1,,,
121,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hyposmia retronasal_smell,1,single choice,No change,no_change,,,,,,116,1,,,
121,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hyposmia retronasal_smell,2,single choice,Better,better,,,,,,116,1,,,
121,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hyposmia retronasal_smell,3,single choice,Worse,worse,,,,,,116,1,,,
121,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hyposmia retronasal_smell,4,single choice,Do not know ,do_not_know,,,,,,116,1,,,
122,1,Details about your symptoms,What makes your diminished perception of aromas worse? ,Exacerbating_factors,hyposmia retronasal_smell,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,116,1,,,
123,1,Details about your symptoms,What makes your diminished perception of aromas better? ,Allievating_factors,hyposmia retronasal_smell,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,116,1,,,
124,1,Details about your symptoms,How does this problem affect your quality of life?,effect_on_quality_of_life,hyposmia retronasal_smell,1,,Please use a scale ranging from 1 (not at all) to 10 (very badly):,,range,,1 10,,,116,1,,,
125,14,Details about your symptoms,I am less sensitive to sour - bitter - salty - sweet  - But I still can partially perceive them. ,hypogeusia,,1,single choice,Yes,,,,,,,,,,,
125,14,Details about your symptoms,I am less sensitive to sour - bitter - salty - sweet  - But I still can partially perceive them. ,hypogeusia,,2,single choice,No,,,,,,,,,,,
126,1,Details about your symptoms,How long ago did this problem start? ,Onset_date,hypogeusia,1,,Please enter a number and a time unit (e.g. 2 years ago / 3 months ago):,,integer_and_timeunit,second(s)**minutes(s)**hour(s)**day(s)**week(s)**month(s)**year(s),,,,125,1,,,
127,1,Details about your symptoms,How fast was the onset?,onset_speed,hypogeusia,1,single choice,Progressively,progressive,,,,,,125,1,,,
127,1,Details about your symptoms,How fast was the onset?,onset_speed,hypogeusia,2,single choice,Suddenly,sudden,,,,,,125,1,,,
127,1,Details about your symptoms,How fast was the onset?,onset_speed,hypogeusia,3,single choice,I always had a bad or absent sense of taste as far as I can remember.,no_memories_of_any_taste,,,,,,125,1,,,
127,1,Details about your symptoms,How fast was the onset?,onset_speed,hypogeusia,4,single choice,Do not know ,do_not_know,,,,,,125,1,,,
128,1,Details about your symptoms,Have you ever noticed that your ability to taste may improve or get worse over a short or long period? ,symptoms_pattern_name,hypogeusia,1,single choice,Yes - my sense of taste fluctuates,fluctuating,,,,,,125,1,,,
128,1,Details about your symptoms,Have you ever noticed that your ability to taste may improve or get worse over a short or long period? ,symptoms_pattern_name,hypogeusia,2,single choice,No - my sense of taste is constantly impaired,constant,,,,,,125,1,,,
128,1,Details about your symptoms,Have you ever noticed that your ability to taste may improve or get worse over a short or long period? ,symptoms_pattern_name,hypogeusia,3,single choice,Do not know ,do_not_know,,,,,,125,1,,,
129,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hypogeusia,1,single choice,Hourly,hour,,,,,,128,1,,,
129,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hypogeusia,2,single choice,Daily,day,,,,,,128,1,,,
129,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hypogeusia,3,single choice,Weekly,week,,,,,,128,1,,,
129,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hypogeusia,4,single choice,Monthly,month,,,,,,128,1,,,
129,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hypogeusia,5,single choice,Yearly,year,,,,,,128,1,,,
129,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hypogeusia,6,single choice,Do not know ,do_not_know,,,,,,128,1,,,
129,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hypogeusia,7,single choice,It is irregular,irregular_fluctuation,,,,,,128,1,,,
130,1,Details about your symptoms,Did you partially lose your sense of taste in one or both sides of the tongue? ,laterality,hypogeusia,1,single choice,Both sides,bilateral,,,,,,125,1,,,
130,1,Details about your symptoms,Did you partially lose your sense of taste in one or both sides of the tongue? ,laterality,hypogeusia,2,single choice,Left side,unilateral_left,,,,,,125,1,,,
130,1,Details about your symptoms,Did you partially lose your sense of taste in one or both sides of the tongue? ,laterality,hypogeusia,3,single choice,Right side,unilateral_right,,,,,,125,1,,,
130,1,Details about your symptoms,Did you partially lose your sense of taste in one or both sides of the tongue? ,laterality,hypogeusia,4,single choice,Do not know ,do_not_know,,,,,,125,1,,,
131,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hypogeusia,1,single choice,No change,no_change,,,,,,125,1,,,
131,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hypogeusia,2,single choice,Better,better,,,,,,125,1,,,
131,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hypogeusia,3,single choice,Worse,worse,,,,,,125,1,,,
131,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hypogeusia,4,single choice,Do not know ,do_not_know,,,,,,125,1,,,
132,1,Details about your symptoms,How does this problem affect your quality of life?,effect_on_quality_of_life,hypogeusia,1,,Please use a scale ranging from 1 (not at all) to 10 (very badly):,integer,range,,1 10,,,125,1,,,
133,1,Details about your symptoms,What makes your diminished perception of the 4 basic tastes (sweet salty bitter sour) worse? ,Exacerbating_factors,hypogeusia,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,125,1,,,
134,1,Details about your symptoms,What makes your diminished perception of the 4 basic tastes (sweet salty bitter sour) better? ,Allievating_factors,hypogeusia,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,125,1,,,
135,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,hypogeusia,1,multiple choice,Sour,sour,,,,,,125,1,,,
135,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,hypogeusia,2,multiple choice,Salty,salty,,,,,,125,1,,,
135,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,hypogeusia,3,multiple choice,Sweet,sweet,,,,,,125,1,,,
135,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,hypogeusia,4,multiple choice,Bitter,bitter,,,,,,125,1,,,
135,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,hypogeusia,5,multiple choice,All the 4 basic taste,general,,,,,,125,1,,,
135,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,hypogeusia,6,multiple choice,I do not know ,do_not_know,,,,,,125,1,,,
136,15,Details about your symptoms,I have completely lost my ability to perceive sour - bitter - salty or sweet taste.,,ageusia,1,single choice,Yes,,,,,,,,,,,
136,15,Details about your symptoms,I have completely lost my ability to perceive sour - bitter - salty or sweet taste.,,ageusia,2,single choice,No,,,,,,,,,,,
137,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,ageusia,1,multiple choice,Sour,sour,,,,,,136,1,,,
137,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,ageusia,2,multiple choice,Salty,salty,,,,,,136,1,,,
137,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,ageusia,3,multiple choice,Sweet,sweet,,,,,,136,1,,,
137,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,ageusia,4,multiple choice,Bitter,bitter,,,,,,136,1,,,
137,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,ageusia,5,multiple choice,All the 4 basic taste,general,,,,,,136,1,,,
137,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,ageusia,6,multiple choice,I do not know ,do_not_know,,,,,,136,1,,,
138,1,Details about your symptoms,How long ago did this problem start? ,Onset_date,ageusia,1,,Please enter a number and a time unit (e.g. 2 years ago / 3 months ago):,,integer_and_timeunit,second(s)**minutes(s)**hour(s)**day(s)**week(s)**month(s)**year(s),,,,136,1,,,
139,1,Details about your symptoms,How fast was the onset?,onset_speed,ageusia,1,single choice,Progressively,progressive,,,,,,136,1,,,
139,1,Details about your symptoms,How fast was the onset?,onset_speed,ageusia,2,single choice,Suddenly,sudden,,,,,,136,1,,,
139,1,Details about your symptoms,How fast was the onset?,onset_speed,ageusia,3,single choice,I always had a bad  or absent sense of taste as far as I can remember.,No_memories_of_any_taste,,,,,,136,1,,,
139,1,Details about your symptoms,How fast was the onset?,onset_speed,ageusia,4,single choice,Do not know ,do_not_know,,,,,,136,1,,,
140,1,Details about your symptoms,Does your ability to taste improve over a short or long period? ,symptoms_pattern_name,ageusia,1,single choice,Yes - my sense of taste fluctuates,fluctuating,,,,,,136,1,,,
140,1,Details about your symptoms,Does your ability to taste improve over a short or long period? ,symptoms_pattern_name,ageusia,2,single choice,No - my sense of taste is constantly impaired,constant,,,,,,136,1,,,
140,1,Details about your symptoms,Does your ability to taste improve over a short or long period? ,symptoms_pattern_name,ageusia,3,single choice,Do not know ,do_not_know,,,,,,136,1,,,
141,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating ageusia,1,single choice,Hourly,hour,,,,,,140,1,,,
141,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating ageusia,2,single choice,Daily,day,,,,,,140,1,,,
141,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating ageusia,3,single choice,Weekly,week,,,,,,140,1,,,
141,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating ageusia,4,single choice,Monthly,month,,,,,,140,1,,,
141,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating ageusia,5,single choice,Yearly,year,,,,,,140,1,,,
141,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating ageusia,6,single choice,Do not know ,do_not_know,,,,,,140,1,,,
141,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating ageusia,7,single choice,It is irregular,irregular_fluctuation,,,,,,140,1,,,
142,1,Details about your symptoms,Did you lose your sense of taste in one or both sides of the tongue? ,laterality,ageusia,1,single choice,Both sides,bilateral,,,,,,136,1,,,
142,1,Details about your symptoms,Did you lose your sense of taste in one or both sides of the tongue? ,laterality,ageusia,2,single choice,Left side,unilateral_left,,,,,,136,1,,,
142,1,Details about your symptoms,Did you lose your sense of taste in one or both sides of the tongue? ,laterality,ageusia,3,single choice,Right side,unilateral_right,,,,,,136,1,,,
142,1,Details about your symptoms,Did you lose your sense of taste in one or both sides of the tongue? ,laterality,ageusia,4,single choice,Do not know ,do_not_know,,,,,,136,1,,,
143,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,ageusia,1,single choice,No change,no_change,,,,,,136,1,,,
143,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,ageusia,2,single choice,Better,better,,,,,,136,1,,,
143,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,ageusia,3,single choice,Worse,worse,,,,,,136,1,,,
143,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,ageusia,4,single choice,Do not know ,do_not_know,,,,,,136,1,,,
144,1,Details about your symptoms,How does this problem affect your quality of life?,effect_on_quality_of_life,ageusia,1,,Please use a scale ranging from 1 (not at all) to 10 (very badly):,integer,range,,1 10,,,136,1,,,
145,1,Details about your symptoms,What makes your inability to perceive the 4 basic tastes (sweet salty bitter sour) worse? ,Exacerbating_factors,ageusia,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,136,1,,,
146,1,Details about your symptoms,What makes your inability to perceive the 4 basic tastes (sweet salty bitter sour) better? ,Allievating_factors,ageusia,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,136,1,,,
147,16,Details about your symptoms,I am more sensitive to sour - bitter - salty or sweet tastes,,hypergeusia,1,single choice,Yes,,,,,,,,,,,
147,16,Details about your symptoms,I am more sensitive to sour - bitter - salty or sweet tastes,,hypergeusia,2,single choice,No,,,,,,,,,,,
148,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,hypergeusia,1,multiple choice,Sour,sour,,,,,,147,1,,,
148,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,hypergeusia,2,multiple choice,Salty,salty,,,,,,147,1,,,
148,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,hypergeusia,3,multiple choice,Sweet,sweet,,,,,,147,1,,,
148,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,hypergeusia,4,multiple choice,Bitter,bitter,,,,,,147,1,,,
148,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,hypergeusia,5,multiple choice,All the 4 basic tastes,general,,,,,,147,1,,,
148,1,Details about your symptoms,The problem affects the following (check all that apply) :,quality_descriptor,hypergeusia,6,multiple choice,I do not know ,do_not_know,,,,,,147,1,,,
149,1,Details about your symptoms,How long ago did this problem start? ,Onset_date,hypergeusia,1,,Please enter a number and a time unit (e.g. 2 years ago / 3 months ago):,,integer_and_timeunit,second(s)**minutes(s)**hour(s)**day(s)**week(s)**month(s)**year(s),,,,147,1,,,
150,1,Details about your symptoms,How fast was the onset?,onset_speed,hypergeusia,1,single choice,Progressively,progressive,,,,,,147,1,,,
150,1,Details about your symptoms,How fast was the onset?,onset_speed,hypergeusia,2,single choice,Suddenly,sudden,,,,,,147,1,,,
150,1,Details about your symptoms,How fast was the onset?,onset_speed,hypergeusia,3,single choice,I have always had a bad sense of taste as long as I can remember.,No_memories_of_any_smells,,,,,,147,1,,,
150,1,Details about your symptoms,How fast was the onset?,onset_speed,hypergeusia,4,single choice,Do not know ,do_not_know,,,,,,147,1,,,
151,1,Details about your symptoms,Does your ability to taste return back to normal over a short or long period? ,symptoms_pattern_name,hypergeusia,1,single choice,Yes - my sense of taste fluctuates,fluctuating,,,,,,147,1,,,
151,1,Details about your symptoms,Does your ability to taste return back to normal over a short or long period? ,symptoms_pattern_name,hypergeusia,2,single choice,No - my sense of taste is constantly impaired,constant,,,,,,147,1,,,
151,1,Details about your symptoms,Does your ability to taste return back to normal over a short or long period? ,symptoms_pattern_name,hypergeusia,3,single choice,Do not know ,do_not_know,,,,,,147,1,,,
152,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hypergeusia,1,single choice,Hourly,hour,,,,,,151,1,,,
152,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hypergeusia,2,single choice,Daily,day,,,,,,151,1,,,
152,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hypergeusia,3,single choice,Weekly,week,,,,,,151,1,,,
152,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hypergeusia,4,single choice,Monthly,month,,,,,,151,1,,,
152,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hypergeusia,5,single choice,Yearly,year,,,,,,151,1,,,
152,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hypergeusia,6,single choice,Do not know ,do_not_know,,,,,,151,1,,,
152,1,Details about your symptoms,How frequently does it fluctuate?,Unit_of_time,fluctuating hypergeusia,7,single choice,It is irregular,irregular_fluctuation,,,,,,151,1,,,
153,1,Details about your symptoms,Does the problem affects one or both sides of the tongue? ,laterality,hypergeusia,1,single choice,Both sides,bilateral,,,,,,147,1,,,
153,1,Details about your symptoms,Does the problem affects one or both sides of the tongue? ,laterality,hypergeusia,2,single choice,Left side,unilateral_left,,,,,,147,1,,,
153,1,Details about your symptoms,Does the problem affects one or both sides of the tongue? ,laterality,hypergeusia,3,single choice,Right side,unilateral_right,,,,,,147,1,,,
153,1,Details about your symptoms,Does the problem affects one or both sides of the tongue? ,laterality,hypergeusia,4,single choice,Do not know ,do_not_know,,,,,,147,1,,,
154,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hypergeusia,1,single choice,No change,no_change,,,,,,147,1,,,
154,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hypergeusia,2,single choice,Better,better,,,,,,147,1,,,
154,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hypergeusia,3,single choice,Worse,worse,,,,,,147,1,,,
154,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,hypergeusia,4,single choice,Do not know ,do_not_know,,,,,,147,1,,,
155,1,Details about your symptoms,How does this problem affect your quality of life?,effect_on_quality_of_life,hypergeusia,1,,Please use a scale ranging from 1 (not at all) to 10 (very badly):,integer,range,,1 10,,,147,1,,,
156,1,Details about your symptoms,What makes your hightened perception of the 4 basic tastes (sweet salty bitter sour) worse? ,Exacerbating_factors,hypergeusia,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,147,1,,,
157,1,Details about your symptoms,What makes your hightened perception of the 4 basic tastes (sweet salty bitter sour) better? ,Allievating_factors,hypergeusia,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,147,1,,,
158,17,Details about your symptoms,My mouth is burning,,burning_mouth,1,single choice,Yes,,,,,,,,,,,
158,17,Details about your symptoms,My mouth is burning,,burning_mouth,2,single choice,No,,,,,,,,,,,
159,1,Details about your symptoms,How long ago did this problem start? ,Onset_date,burning_mouth,1,,Please enter a number and a time unit (e.g. 2 years ago / 3 months ago):,,integer_and_timeunit,second(s)**minutes(s)**hour(s)**day(s)**week(s)**month(s)**year(s),,,,158,1,,,
160,1,Details about your symptoms,How fast was the onset?,onset_speed,burning_mouth,1,single choice,Progressively,progressive,,,,,,158,1,,,
160,1,Details about your symptoms,How fast was the onset?,onset_speed,burning_mouth,2,single choice,Suddenly,sudden,,,,,,158,1,,,
160,1,Details about your symptoms,How fast was the onset?,onset_speed,burning_mouth,4,single choice,Do not know ,do_not_know,,,,,,158,1,,,
161,1,Details about your symptoms,Does the problem affects one or both sides of the mouth? ,laterality,burning_mouth,1,single choice,Both sides,bilateral,,,,,,158,1,,,
161,1,Details about your symptoms,Does the problem affects one or both sides of the mouth? ,laterality,burning_mouth,2,single choice,Left side,unilateral_left,,,,,,158,1,,,
161,1,Details about your symptoms,Does the problem affects one or both sides of the mouth? ,laterality,burning_mouth,3,single choice,Right side,unilateral_right,,,,,,158,1,,,
161,1,Details about your symptoms,Does the problem affects one or both sides of the mouth? ,laterality,burning_mouth,4,single choice,Do not know ,do_not_know,,,,,,158,1,,,
162,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,burning_mouth,1,single choice,No change,no_change,,,,,,158,1,,,
162,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,burning_mouth,2,single choice,Better,better,,,,,,158,1,,,
162,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,burning_mouth,3,single choice,Worse,worse,,,,,,158,1,,,
162,1,Details about your symptoms,How has the situation changed since the beginning?,Evolution,burning_mouth,4,single choice,Do not know ,do_not_know,,,,,,158,1,,,
163,1,Details about your symptoms,How does this problem affect your quality of life?,effect_on_quality_of_life,burning_mouth,1,,Please use a scale ranging from 1 (not at all) to 10 (very badly):,integer,range,,1 10,,,158,1,,,
164,1,Details about your symptoms,What makes your burning mouth worse? ,Exacerbating_factors,burning_mouth,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,158,1,,,
165,1,Details about your symptoms,What makes your burning mouth better? ,Allievating_factors,burning_mouth,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,158,1,,,
166,18,Details about your symptoms,Sometimes I suddenly perceive a strange or phantom taste despite the absence of food or beverages or other things in my mouth,,phantogeusia,1,single choice,Yes,,,,,,,,,,,
166,18,Details about your symptoms,Sometimes I suddenly perceive a strange or phantom taste despite the absence of food or beverages or other things in my mouth,,phantogeusia,2,single choice,No,,,,,,,,,,,
167,1,Details about your symptoms,How pleasant is the phantom taste? ,,phantogeusia pleasantness ,1,,Please use a scale ranging from 1 (very unpleasant) to 10 (very pleasant):,,range,,1 10,,,166,1,,,
168,1,Details about your symptoms,How intense is the phantom taste?,,phantogeusia intensity,1,,Please use a scale ranging from 1 (very weak) to 10 (very intense):,,range,,1 10,,,166,1,,,
169,1,Details about your symptoms,How familiar is the phantom taste?,,phantogeusia familiarity,1,,Please use a scale ranging from 1 (very unfamiliar) to 10 (very familiar):,,range,,1 10,,,166,1,,,
170,1,Details about your symptoms,Please describe the phantom taste (e.g. burnt or sweet),quality_descriptor ,phantogeusia,1,,Please describe it here (if you do not know please enter 0): ,,text,,,,,166,1,,,
171,1,Details about your symptoms,I am experiencing these problems during the day especially between (check all that apply):,period_of_the_day ,phantogeusia,1,multiple choice,6 AM and 9 AM,6am9am,,,,,,166,1,,,
